time,close,EMA 1,EMA 2,EMA 3,EMA 4,EMA 5,Upper ATR 3,Lower ATR 3,RSI Stoch,RSI
2022-11-18T13:00:00+01:00,16771.5,16762.87519,16736.7932,16712.53448,16697.89304,16737.68946,17033.27746,16440.30893,13.19677517,54.97825079
2022-11-18T14:00:00+01:00,16748,16759.56959,16737.812,16714.56108,16699.68258,16737.89363,17031.76167,16443.86232,10.145997,52.41781212
2022-11-18T15:00:00+01:00,16695,16745.22079,16733.92,16713.4433,16699.51534,16737.04425,17036.23041,16431.60959,7.499001057,47.09114673
2022-11-18T16:00:00+01:00,16686,16732.06062,16729.56363,16711.87511,16699.03265,16736.03348,17032.6733,16426.45397,1.479232064,46.2319938
2022-11-18T17:00:00+01:00,16648,16713.38048,16722.14876,16708.22511,16697.21006,16734.29024,17025.35774,16418.93978,-1.48E-15,42.69048695
2022-11-18T18:00:00+01:00,16591,16686.18482,16710.22614,16701.52653,16693.41684,16731.45281,17014.49162,16405.96067,-1.48E-15,37.98953914
2022-11-18T19:00:00+01:00,16581.5,16662.92152,16698.52377,16694.66787,16689.41981,16728.48345,16993.59171,16403.45582,-1.48E-15,37.25324413
2022-11-18T20:00:00+01:00,16653,16660.71674,16694.38524,16692.28685,16688.1191,16726.98873,16991.51976,16397.25072,14.72324953,45.77204006
2022-11-18T21:00:00+01:00,16642.5,16656.66858,16689.6684,16689.44189,16686.48985,16725.31568,16978.54331,16400.79349,28.93420112,44.80992048
2022-11-18T22:00:00+01:00,16656,16656.52,16686.60764,16687.53092,16685.40093,16723.94309,16963.20577,16410.00951,46.08044855,46.37076463
2022-11-18T23:00:00+01:00,16654.5,16656.07111,16683.68876,16685.64344,16684.29732,16722.56798,16953.38703,16413.9905,48.20933626,46.21437147
2022-11-19T00:00:00+01:00,16700,16665.83309,16685.1716,16686.46382,16684.85813,16722.12109,16955.74856,16414.59464,60.88849259,51.55206439
2022-11-19T01:00:00+01:00,16661.5,16664.87018,16683.01964,16685.03731,16684.02391,16720.92067,16943.26967,16422.7696,62.59225717,47.27674178
2022-11-19T02:00:00+01:00,16657.5,16663.23236,16680.69967,16683.46375,16683.07663,16719.66482,16927.61042,16433.78892,63.77273057,46.84208844
2022-11-19T03:00:00+01:00,16630.5,16655.9585,16676.13607,16680.43725,16681.19889,16717.89918,16925.98176,16426.29037,51.50972656,43.90765549
2022-11-19T04:00:00+01:00,16623,16648.63439,16671.30551,16677.15512,16679.12036,16716.01999,16911.3408,16431.27023,46.28955015,43.09996121
2022-11-19T05:00:00+01:00,16626,16643.60453,16667.18683,16674.23197,16677.22321,16714.23741,16897.04103,16437.33264,42.92960793,43.54729959
2022-11-19T06:00:00+01:00,16600.5,16634.02574,16661.12439,16670.01872,16674.48309,16711.98519,16892.02472,16430.22407,36.15985693,40.62377044
2022-11-19T07:00:00+01:00,16607.5,16628.13113,16656.24945,16666.44622,16672.09084,16709.91617,16880.51403,16431.98486,33.08104798,41.77926114
2022-11-19T08:00:00+01:00,16596,16620.99088,16650.77222,16662.42072,16669.37331,16707.66041,16863.08934,16438.45511,25.71767901,40.38867491
2022-11-19T09:00:00+01:00,16641,16625.43735,16649.88384,16661.19668,16668.35998,16706.3404,16862.46402,16437.30366,39.75526566,47.72132705
2022-11-19T10:00:00+01:00,16628,16626.00683,16647.8944,16659.29973,16666.91855,16704.78911,16849.46885,16446.31995,45.84707724,45.96238947
2022-11-19T11:00:00+01:00,16630,16626.8942,16646.26764,16657.62546,16665.60003,16703.30813,16837.83677,16454.6985,56.1599797,46.29038001
2022-11-19T12:00:00+01:00,16666,16635.58438,16648.06149,16658.104,16665.61431,16702.56936,16836.6614,16459.46158,67.59837348,51.94450527
2022-11-19T13:00:00+01:00,16646,16637.89896,16647.87408,16657.41234,16664.9138,16701.44917,16832.21685,16463.53131,75.41084533,48.86671736
